Deutsch,English
interessant,Interesting
entscheiden,decide
miteinander,together
meint,means
liebst,love
bleibst,stay
kümmere,take care
wohnen,live
weder,neither
möglichkeit,possibility
kaputt,broken
bekomme,get
flugzeug,plane
vergangenheit,past
anderer,another
zweite,second
armee,army
entweder,either
weiss,White
detective,detective
aufhalten,stop
stellt,provides
verspreche,promise
überrascht,surprised
sauber,clean
mark,mark
schlag,blow
sheriff,sheriff
untertitel,subtitle
setzt,puts
frag,question
vaters,father
nervös,nervous
gesellschaft,society
verstecken,hide
schuldig,guilty
hals,neck
schützen,protect
besuchen,visit
passen,fit
überleben,to survive
erhalten,receive
teilen,share
gebäude,building
schicksal,fate
zeichen,character
richter,judge
besorgt,concerned
küche,kitchen
lief,ran
vergnügen,pleasure
wüsste,know
volk,people
lhr,LHR
herausfinden,find out
königin,queen
soldaten,soldiers
feiern,to celebrate
situation,situation
lag,was
gelassen,calmly
allerdings,Indeed
soweit,so far
gefahren,hazards
verstand,understanding
bord,shelf
schönes,beautiful
jimmy,Jimmy
billy,billy
angefangen,started
fühlst,feel
mussten,had
rat,advice
worauf,whereupon
gebeten,asked
tony,tony
kamera,camera
achtung,Danger
lieutenant,lieutenant
ganzes,whole
schuhe,Shoes
sarah,sarah
glückwunsch,congratulation
niemandem,no one
gibst,give
statt,instead of
übernehmen,take over
gegend,area
wald,Forest
nimmst,take
danny,danny
erkennen,detect
glas,Glass
falsche,false
verantwortlich,responsible
jesus,Jesus
stöhnt,moans
herein,in
kleid,dress
zerstören,to destroy
jawohl,Yes
london,London
gegessen,eaten
abendessen,dinner
gesetz,law
gemeinsam,together
geholfen,helped
erster,first
wohnt,lives
schritt,step
guck,peep
nahe,Near
aussieht,looks
beginnen,start
dachten,thought
band,tape
ungefähr,approximately
aufgabe,task
neun,nine
furchtbar,awful
drinnen,indoors
zuvor,before
charles,charles
freue,look
amerika,America
übrig,left
spur,track
falschen,false
sergeant,sergeant
melden,Report
helfe,help
werfen,throw
bill,bill
haltet,think
erinnert,remind
hängt,hangs
freude,joy
ehemann,husband
erschossen,shot
verzeihen,forgive
schwein,pig
monster,monster
entschieden,decided
mission,mission
verdammten,damned
brauch,custom
gewusst,know
vorne,ahead
stopp,stop
übel,evil
schlampe,slut
schöner,more beautiful
adresse,address
unsinn,nonsense
messer,knife
gesund,healthy
respekt,respect
leisten,Afford
davor,before
richard,Richard
bedeuten,mean
ball,ball
mitnehmen,take
gespielt,played
schwierigkeiten,trouble
hälfte,half
kannte,knew
stehe,am
maria,Maria
planeten,planet
schwanger,pregnant
gruppe,group
anna,Ann
verhaftet,arrested
deal,deal
seines,his
irgendwelche,any
händen,hands
versteht,understood
drehen,rotate
eis,ice
danken,to thank
erfolg,success
zufrieden,satisfied
schließen,conclude
besorgen,to get
wochenende,weekend
worüber,about what
stimmen,be right
nehmt,take
martin,martin
witze,joking
beine,legs
verbrechen,crime
bericht,report
nachts,at night
eurer,yours
prinzessin,princess
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,equal
fernsehen,watch TV
wünsche,Wishes
schließlich,after all
gefangen,captured
schätzchen,baby
seh,seh
schwierig,difficult
angebot,offer
nah,close
jane,jane
gewartet,waited
kümmert,takes care
rennen,run
lied,song
eier,eggs
welchen,which
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,cases
drink,drink
insel,island
dauern,last
daher,therefore
zufällig,coincidentally
dorf,Village
clark,clark
bewegt,emotional
mitten,in the middle
bullen,cops
feind,enemy
einverstanden,I Agree
neuer,new
bauen,to build
trägt,wearing
hängen,hang
freunden,friends
deren,their
halb,half
verpasst,lost
sprach,spoke
leise,quiet
armen,poor
wusstest,knew
fanden,found
unternehmen,Companies
träume,dreams
schläft,is sleeping
kostet,costs
spiele,games
unseres,our
entlang,along
johnny,johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,to earn
aha,Aha
unterhalten,to chat
eingeladen,invited
schaden,damage
genannt,called
beenden,break up
ray,ray
geändert,changed
thomas,Thomas
lächerlich,ridiculous
geschlagen,beaten
park,park
schätzen,estimate
männern,men
beginnt,starts
ehren,to honor
größte,greatest
energie,energy
fleisch,flesh
besonderes,special
besteht,consists
reichen,pass
robert,Robert
zeitung,newspaper
worum,about what
nachgedacht,thought
betrunken,drunk
sowas,like this
patienten,patient
gespräch,conversation
leiden,To suffer
tötet,killing
see,lake
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,Daniel
sahen,saw
wand,wall
lhre,Their
angriff,attack
verhalten,behavior
loch,hole
interesse,interest
treten,to step
quatsch,nonsense
trifft,meets
polizist,police officer
blumen,flowers
neuigkeiten,news
bringst,bring
flasche,bottle
rief,cried
schuss,shot
fassen,take
meer,sea
konntest,could
schafft,creates
maschine,machine
spreche,speak
bein,leg
eddie,eddie
bekommst,get
verbringen,spend
bücher,Books
blöd,stupid
